fips,variable,value
04005,pct_clay,21.5027368150912
04007,pct_clay,22.1452001591686
04009,pct_clay,23.95386956212
04011,pct_clay,24.7248791097211
04012,pct_clay,21.2137810117572
04013,pct_clay,19.4489936138166
04015,pct_clay,17.6781355664076
04017,pct_clay,20.8023091447151
04019,pct_clay,24.8411201097561
04021,pct_clay,19.6504640301374
04023,pct_clay,28.5348430412797
04025,pct_clay,18.7096962337389
04027,pct_clay,25.0184256884176
05001,pct_clay,26.5783600477969
05003,pct_clay,26.4838758058109
05005,pct_clay,26.6123012405502
05007,pct_clay,26.3601006787896
05009,pct_clay,25.9585518607399
05011,pct_clay,18.4332440088455
05013,pct_clay,17.9227154630889
05015,pct_clay,26.0555795484261
05017,pct_clay,32.4811439116598
05019,pct_clay,23.2762612587758
05021,pct_clay,19.7005060881388
05023,pct_clay,21.8032417846813
05025,pct_clay,19.1270961156994
05027,pct_clay,22.3175927841584
05029,pct_clay,22.3637506341052
05031,pct_clay,20.0759469211352
05033,pct_clay,23.0196545217052
05035,pct_clay,27.8738684239226
05037,pct_clay,26.0298132309954
05039,pct_clay,19.449274940053
05041,pct_clay,30.9177622551948
05043,pct_clay,23.9719331590117
05045,pct_clay,23.1838965744816
05047,pct_clay,23.7946196227979
05049,pct_clay,27.2750601137574
05051,pct_clay,23.9875388386279
05053,pct_clay,21.0249576146869
05055,pct_clay,21.1104399563543
05057,pct_clay,25.975455042739
05059,pct_clay,21.4951062871993
05061,pct_clay,25.1214422854629
05063,pct_clay,22.9289304239373
05065,pct_clay,24.634880569349
05067,pct_clay,23.6090670365244
05069,pct_clay,27.0447013007385
05071,pct_clay,23.3742014119484
05073,pct_clay,29.0869814027391
05075,pct_clay,22.0772097383747
05077,pct_clay,22.1361501674981
05079,pct_clay,27.0947179605972
05081,pct_clay,27.7979458474632
05083,pct_clay,23.049430381484
05085,pct_clay,26.0756114562117
05087,pct_clay,25.8230912417498
05089,pct_clay,26.1176880798189
05091,pct_clay,28.7302048320913
05093,pct_clay,24.4108908829504
05095,pct_clay,26.7279700982957
05097,pct_clay,24.311832221562
05099,pct_clay,23.156419962013
05101,pct_clay,25.1303089507248
05103,pct_clay,20.1779077029689
05105,pct_clay,23.5217448101977
05107,pct_clay,25.2117187829032
05109,pct_clay,21.3597342977556
05111,pct_clay,24.6334107297204
05113,pct_clay,24.0367577619706
05115,pct_clay,21.6795268465952
05117,pct_clay,25.9182051894973
05119,pct_clay,24.8462721629275
05121,pct_clay,20.8160774831383
05123,pct_clay,25.4143892635142
05125,pct_clay,21.2752663429747
05127,pct_clay,24.4217209986554
05129,pct_clay,25.26234308106
05131,pct_clay,24.2167249546455
05133,pct_clay,23.89716017337
05135,pct_clay,23.1575271446687
05137,pct_clay,23.9488131608195
05139,pct_clay,23.203724210319
05141,pct_clay,22.6625182848886
05143,pct_clay,25.5032412977442
05145,pct_clay,24.5794063953479
05147,pct_clay,24.759540306359
05149,pct_clay,22.2498215520349
06001,pct_clay,30.6160482466833
06003,pct_clay,10.877082440885
06005,pct_clay,21.8726830545198
06007,pct_clay,28.5034025096378
06009,pct_clay,24.0411086044783
06011,pct_clay,32.8039335864564
06013,pct_clay,30.4185466449023
06015,pct_clay,24.2184220636455
06017,pct_clay,21.6814383926231
06019,pct_clay,24.8034527032561
06021,pct_clay,28.3528005906147
06023,pct_clay,23.5951919871712
06025,pct_clay,31.3509089904053
06027,pct_clay,14.1694189051715
06029,pct_clay,19.4514442542943
06031,pct_clay,26.0963893116514
06033,pct_clay,26.3224623459819
06035,pct_clay,22.1324551206448
06037,pct_clay,19.5008252627469
06039,pct_clay,20.999786402627
06041,pct_clay,28.0543424330572
06043,pct_clay,24.8911417245074
06045,pct_clay,24.5432179886659
06047,pct_clay,24.529083245529
06049,pct_clay,21.7386313475997
06051,pct_clay,14.1882718207928
06053,pct_clay,24.1557562005247
06055,pct_clay,25.4949504668804
06057,pct_clay,23.0321858423867
06059,pct_clay,25.0325512589828
06061,pct_clay,23.2848299714296
06063,pct_clay,19.4995860282821
06065,pct_clay,22.8456016159195
06067,pct_clay,27.9576318713409
06069,pct_clay,29.3828759918546
06071,pct_clay,16.2299660890118
06073,pct_clay,22.5362710125404
06077,pct_clay,27.0047617640756
06079,pct_clay,25.6624525529509
06081,pct_clay,24.2394683518837
06083,pct_clay,23.5805627564369
06085,pct_clay,27.5261720619337
06087,pct_clay,23.9090686896017
06089,pct_clay,23.5510198749772
06091,pct_clay,19.7861896314745
06093,pct_clay,20.662350179348
06095,pct_clay,30.6360588786793
06097,pct_clay,26.3108762281854
06099,pct_clay,24.0409622232237
06101,pct_clay,30.9854719572276
06103,pct_clay,23.4273769859319
06105,pct_clay,19.0663424278989
06107,pct_clay,17.0425270655836
06109,pct_clay,22.7771201085678
06111,pct_clay,25.6943396762666
06113,pct_clay,31.5357188031961
06115,pct_clay,24.0108522253488
08001,pct_clay,24.4786100792216
08003,pct_clay,22.940354807545
08005,pct_clay,23.802505088105
